helpful,postDate,reviewBody,reviewTitles,special_profile,starRating,type,type_product,username,verifiedPurchase
85 people found this helpful,"Reviewed in the United States on February 1, 2021","This is the the fifth dot I've purchased, but the first 4th gen.  (4 3rd gen's and 2 Toshiba Fire TVs).  Setup was easy, so no news there but the sound quality is better than on the 3rd gens.  Also, it hears better.  The improved aesthetics are an eye-catcher that draw questions, comments and compliments.  I have yet to set up my smart home so I can't speak to it's smart home functionality, but as with everything Amazon I'm looking forward to that integration.  If you're looking to jump into the smart assistant/Alexa world or looking to upgrade from previous generations then this is a good device though there are now plenty of 3rd gens, both new and pre-owned that are more reasonable.  Still, this is a great device that I highly recommend.  We use it, and all our other Dots all day long for announcing, news, music, drop-in, calendar and timer notifications, shopping among other features.  In closing, five-stars!  :-)","Easy setup, Functional and Fun.",,5.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Napoleon0469,Verified Purchase
164 people found this helpful,"Reviewed in the United States on October 23, 2020",This is a gimmick because it's not better than the 3rd gen echo dot. Plus this is bigger and bulkier. I'm going to buy the more of the 3 and return this one.,Not better than 3rd gen and bigger,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Barry,Verified Purchase
77 people found this helpful,"Reviewed in the United States on December 9, 2020", Watch my attached video comparing echo dot 4 with echo dot 3. Amazon has really went cheap on quality this time. The product feels very cheap and very inferior sound quality compared to the echo dot 3. Also the fact of providing white AC adapter to a black speaker is cheap and ugly by itself.,Echo dot 4 is a FAILURE and Cheap,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Elias,Verified Purchase
107 people found this helpful,"Reviewed in the United States on November 7, 2020","We are returning the 4th Gen Echo Dot after trying unsuccessfully for nearly two months to get it working properly. Do not buy until they suss out the mic.I sit less than 30"" away from it, and it does not respond to the wake word. I have to shout at it so loud that the 3rd gen Dot in the living room downstairs responds. If I press the Alexa button, it responds to commands. If I unplug the power, let it sit for 60 seconds, then plug it back in, it responds to the wake word for a while. If I walk away from it for an hour or two after rebooting it, the Echo is back to not responding to the wake word. This device is of no use if I have to keep power it cycling manually to make it functional. No, the mic is not on mute.","The microphone is garbage, rarely responds to wake word.",,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Barbi Stewart,Verified Purchase
117 people found this helpful,"Reviewed in the United States on October 24, 2020",The sound is not at the quality of my other dots. Not worth the extra cost.,Not a better dot,,1.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Phi,Verified Purchase
86 people found this helpful,"Reviewed in the United States on October 23, 2020",Why would you include an off white power cord with a black Echo? Did you suddenly jump on the Apple bandwagon? This looks horrible.,Black Echo. White power cable. Just sad.,,2.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Mr. Hirtan,Verified Purchase
67 people found this helpful,"Reviewed in the United States on December 12, 2020","I purchased this as I always do with the latest and greatest echo devices. This was a horrible mistake.Problems:1. These echo and power cord are no longer matching colors and the cord is shorter and feels significantly cheaper.2. The power adapter is much larger and cheaper too and is a bulky design.3. The sound quality compared to the 3nd Gen Dot is substantially worse. As in if the sound quality if the 3nd gen was a 8 out of 10 the sound quality of this 4rd gen is maybe a 3 out of 10. The speaker lacks bass and is very ""hollow"" sounding.4. Its fabric mesh, and construction seem cheaper and feel like they are much lower quality.5. It has this awful cheap plastic look to it similar to a Chinese garbage speaker you would get on wish.7. The buttons are unresponsive and feel like hollow plastic.Pros:I guess the light under it is a nice touch however on a dark surface it makes it difficult to see during the day.Its clear that a lot of its features, and quality were stripped. The gen 3 dots are amazing, and if you are thinking of upgrading, don't. If you are looking for a echo dot get a gen 3, I even went out and found three more gen 3 dots to replace my last gen 1 dots since I know I won't be able to get them soon and will be stuck with this garbage until gen 5 which they hopefully won't cheap out on.","Keep your last generation echo, this is a MAJOR downgrade",,1.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Robert,Verified Purchase
85 people found this helpful,"Reviewed in the United States on November 13, 2020","I have purchased every dot and almost every echo.  The style of this dot is excellent. I believe it is the sharpest design yet, however, the audio quality is on par with the very first echo dot.  The white cord with black dot doesn't really make sense, but I replaced with an old cord from a more hidden dot. I had an expectation of increasing levels of audio quality, but this device leaves a lot to be desired.  Stick with the third gen at this point.  The volume, richness, and fullness of the audio are all worse than the previous generation(s).  I've been impressed with every Amazon device I've purchased until now.  Perhaps they can solve with a software update, but overall, I'm very disappointed",4th Gen Disappointment,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,cmiller83,Verified Purchase
60 people found this helpful,"Reviewed in the United States on October 22, 2020","Of course I love my echo dots. They’re incredible. And the newest is amazing but come on guys, if I order a black echo, why the heck would you send a white power cable?? Obviously someone wants a black cable with a black echo.",Black echo with white power cable(?)(?)(?),,3.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,ShelbyMedic,Verified Purchase
58 people found this helpful,"Reviewed in the United States on November 2, 2020","The sound is worse than the 3rd gen Echo Dot. Don't let the bloated size fool you, as it is not very loud. The signal light is at the base so it is hard to see if it is listening and the mic seems to have trouble understanding things. I was hoping I was upgrading, but I was just being scammed by a gimmicky sales approached. Save your money and buy the 3rd gen dot and get a 3 year warranty.",What did an extra $30 buy exactly?,,2.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Frank Druthers,Verified Purchase
56 people found this helpful,"Reviewed in the United States on November 25, 2020","I live in a 27' RV. I bought this junkie thing to ""upgrade"" my Dot gen 3. I'm fairly computer literate and have set up many dots over the years for myself and friends. This one is by far the worst Echo I've ever seen. It refuses proper setup, can't stay connected to Wi-Fi, and has really bad bass - as I found on those rare times I've been able to get it to work for a few minutes. I thought I could use them both to cover more of the sound spectrum when playing music, but this new (much lower quality) dot won't play music if the other dot is playing. (This problem has been fixed.) Bottom line: if you have a Echo Dot Gen 3, seriously, don't waste your money! Gen 4 is junk and the Gen 3 has way better sound. I think Amazon has been paying reviewers to give it a good review. If you look at my other reviews, I tend to look for the good in what I review, this one has very little good to talk about. (Disclaimer: it may be this particular unit, but the package arrived undamaged.)Update: A very pleasant Amazon employee contacted me after I left the original review. We worked on getting the Dot set up and I agreed to try it out until mid-January to give it a fair trial. It's now been a couple of weeks and my opinion of it hasn't changed. It sounds more tinny, even after tweaking the equalizer settings. The Gen 3 sounds almost like a Bose speaker by comparison. And as far as I've discovered so far, the Gen 4 does nothing that the Gen 3 couldn't do.Update: It's been a couple of months. I didn't return it because doing so would be too much of a hassle and I figured I would give it to someone who's just starting out. I have been using it, though, to give it a chance. My initial opinion of it hasn't changed. I can't find anything about it that makes it better than my Gen 3. At this point, I feel like it was a total waste of cash. The thing is sitting right next to my bed and it sometimes has trouble hearing its wake word. Next type the actual Echo device goes on sale, definitely upgrading.",This thing is a piece of junk! (With 3 month update),,1.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Brit Kai W. Anders,Verified Purchase
40 people found this helpful,"Reviewed in the United States on October 23, 2020","This smart speaker is great at controlling your smart home and light music listening. While it sounds okay to a person with good taste in sound, the normal consumer would love this. Overall a must-buy!",Amazing Smart Speaker for under 50$,,5.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,yarrum,Verified Purchase
20 people found this helpful,"Reviewed in the United States on June 22, 2021","I am not a technophobe by any means but I have not bought into all the ""smart gizmos"" until fairly recently. So far I like the dot, mainly because I can talk fast and natural and Alexa understands me perfectly.  You can also change the key word (or whatever it's called) to a few other things, which I can't do with Google.Now for people complaining about the audio quality: this thing is a tiny little speaker with a tiny power draw and in my mind will never sound good for music (physics and whatnot). If you are someone who actually listens to music you already know that this will sound like garbage and probably already have an amp/receiver and decent speakers or monitors. Alexa's voice is ok, even if she sounds a little muddled, kind of like someone talking to you when they are not facing you. It does have an aux output and bluetooth so hooking it up to real speakers is a breeze.The only things I think Amazon should fix is the very stiff ugly cord with the giant brick. Also I have the blue and black models and I think the blue is kind of ugly and the black is very black (the kind of black that really doesn't exist in nature.) These complaints are just nitpicking and I still like the product.Update: When I first got this it was kind of a pain to get certain things functioning such as my lights, but Alexa is able to learn fairly quickly what I mean when I say certain things. I have one dot in the bedroom and one in my office, and at first Alexa had no idea how to turn the lights off or on without being specific. I had to say, ""Alexa, turn on the office lights"" at first, but now I just say, ""Alexa, turn on the lights"" or simply, ""Alexa, lights,"" and if I am in the office the office lights turn on and if I am in the bedroom the bedroom lights turn on, just as it should be. Alexa had to learn this, it's like she had no common sense at first, but over time she ""matures."" It may be a little frustrating at first but give it a chance.Update: OK this thing is getting annoying. Everything about this device is trying to get you to buyAmazon products. For example, it connected to my printer and now I get messages about buying toner all of the time.  I think Amazon made this thing like a softball so when you get mad at it you can throw it out the window. I'm probably going to use google more often now and use alexa only for turning on my lights. Even if you turn every option off in the settings it still just rambles on and on.Another update: This thing has gotten so frustrating to use. One day I will ask Alexa when does Walmart open, and she will respond with the time the store that is closest to me opens. A day later if I ask the same question it will respond by telling me when a random walmart 50 miles away is open. If I ask specifically when does the Walmart in *insert city here* open the response is, ""Sorry I can't do that."" This thing sucks. Will stick with Google products from now on.FINAL UPDATE: So after I changed my review to one star Amazon called my phone while I was sleeping. Seriously Amazon? I threw away my Amazon products and cancelled my music subscription, although I will keep my Prime membership because I do like their tv shows. Now my home is Google Home equipped and I have a Google Assistant device in every room now and subscribed to You Tube music. So much better!! Amazon is all about getting you to subscribe to all of their services so you will have a monthly bill instead of buying a stand alone product. There is so much competition now that Amazon just isn't worth it anymore.",Updated: Amazon Called Me Because I Left a Negative Review,,1.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,David,Verified Purchase
35 people found this helpful,"Reviewed in the United States on November 19, 2020","Seems like a step in the wrong direction for this product. Set up was remarkably easy, beyond that needed to prompt Alexa at least 3 times from 6 feet away just to accept a command. Sound quality compared with the 3rd generation proved disappointing to say the least. While neither is great, the 3rd gen offers a pleasant well rounded sound ideal for general ambient music compared with the shrill, bass less sound of the 4th generation which also distorts quite a bit at louder volume. Mine might be defective for all I know, but sending back for a few more 3 gen models once they're in stock.",Stick with the 3rd generation...,,3.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Locutis Tech,Verified Purchase
39 people found this helpful,"Reviewed in the United States on November 25, 2020","Like the death star its shape is modeled after, this device will be short-lived...The sound quality is a massive downgrade from the Echo 3rd Gen, and it takes up almost 3x the space.The voice recognition also seems worse - we'd be standing right next to it, and it would spin and spin like it was thinking, and nothing.We bought 2, and are returning two - flagging as defective, because I can't imagine that Amazon would deliberately design something so tinny and bright sounding, when the 3rd Gen has great sound quality and volume.",Like the death star... This thing is not welcome here.,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,~A,Verified Purchase
25 people found this helpful,"Reviewed in the United States on November 28, 2020","This is my fourth echo and the worst one of them all! I’ve had 2 generation 1 echo dots, a gen 3, and now this one! While the voice recognition does work and it has a bigger speaker the sound quality sucks! I normally like to listen to music while I cook dinner on the echo but this echo have no bass or treble. Just received it today and I’m about to send it back and just buy another Gen 3 for my downstairs. Amazon how do you upgrade a product but make it worse? 🤦‍♀️ DO NOT BUY if you care about sound quality.EDITED: Decided to keep the Echo Dot and use it in a bed room with the sound quality really didn’t matter that much. I will say the voice recognition is a lot better than the echo three but I still prefer the echo three as far as sound quality. I increased it one star.EDIT 4/15/21: I don’t know what type of Amazon did recently. But all of a sudden one day I started getting base and trouble on my echo IV and the sound quality improved. I’ve even had to turn the bass off because I decided to use this in my bedroom and all of my music made me want to dance instead of go to sleep with the extra bass 😂 I also want to add that I noticed the voice recognition and pick up is a lot better than my other Echo Dot  Gen 3 so I’m changing this to 5 ⭐️",I like it! 👍🏾,,5.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,buyitnowgrl,Verified Purchase
31 people found this helpful,"Reviewed in the United States on October 27, 2020",I currently have 6 Echo devices and I have had nearly every model since the original pringles can design.  I love the look of the new globe style dots.  I purchased this latest dot for use near my new Xbox in the media room.  the sound is excellent for its size and I love the  futuristic look and shape of the device.  Highly recommended!  Amazingly simple setup took all of 20 seconds using the alexa.amazon.com website!,Best dot ever 👍😇,,5.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Pete,Verified Purchase
25 people found this helpful,"Reviewed in the United States on October 26, 2020",My only grip is that it comes with a white charging cord. Why would a Black/Blue ball come with a clashing bright white charging cable. Is there a way: I can send the cord back for a new one. The original alexa came with a black cord and it made sense.,An upgraded Alexa with Booming sound,,4.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,The Neighborhood Finance Guy,Verified Purchase
29 people found this helpful,"Reviewed in the United States on January 9, 2021","I honestly can't believe how much worse this is than the previous1. Speaker quality is atrocious. I mean, actually painful to listen to. I put the speaker next to my Samsung Galaxy S8 (notorious for having a terrible single speaker design) and swapped the music between the phone and the speaker and the 5 year old phone sounded WAY better, that's how big of a downgrade we're talking here. The GEN 3 is perfectly listenable, the Gen 4 is unusable. Oh and there is no bass. Might as well be NEGATIVE bass with how awful it sounds.To give an idea of what it sounds like, it sounds like you put the speaker up to the end of a 50 foot long PVC pipe and you listened to the music from the other end of that pipe. That's not an exaggeration, it has that exact sound signature.2. The voice recognition is equally worse. I basically have to stare directly at the Gen 4 within about a 5 foot range in order for it to hear or understand me. Meanwhile, the Gen 3 can be in a completely different room and it'll understand what I say pretty well.3. Something changed with the hardware or software side as well because the machine is CONSTANTLY pausing my music. Music will be playing on the ""Everywhere"" group and all of a sudden the Gen 4 will stop and all the others will still be playing. Also, sometimes I'll tell it to turn a light on and it'll say that it can't detect the light. So I'll go to a Gen 3 and say the same thing, and the light will turn on. It just does this randomly from time to time. I ONLY have this problem with the Gen 4.4. The round design is nice, but it's also completely not versatile. The others can be stowed away anywhere or mounted on the walls. This one? Better have a big open area to place it and you're definitely not putting it on the wall in any logical way.Terrible, I hate this thing. I wish they just kept selling the old Gen 3 instead.",Massive downgrade from the Gen 3,,1.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Cameron Newman,Verified Purchase
18 people found this helpful,"Reviewed in the United States on November 12, 2020"," I recently purchased the Echo Dot 3rd generation during the Prime Days promotion, but was very dissatisfied with the sound quality: too much bass.Today, I received the Echo Dot 4th generation, and I'm completely satisfied with the sound. Not only do I use the Dot for news and weather, but also listening to my audiobooks. This version is a real winner.I can only upload one video, so it will be of the 4G device. Trust me when I say this is a tremendous improvement.",Vastly improved sound quality for voice,,5.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,LifestyleSimply,Verified Purchase
14 people found this helpful,"Reviewed in the United States on June 19, 2021","I was one of the early adopters of the original Amazon Echo. I was thrilled that it could hear me across the room and play music or activate smart devices, as I had needed to rig something up myself with Dragon Naturally Speaking to do the same thing in the past.Since then, the entire Alexa ecosystem has gone to seed in several different ways. The quality of voice recognition has gradually declined; it no longer recognizes simple voice commands like ""turn off bedroom"" (to which it will sometimes give the hilarious response ""did you mean 'bedroom'?""). These are not merely failures of recognition; I've had times when it heard the soundtrack I wanted to play perfectly, I had already purchased said soundtrack, and it still asked me to sign up for Amazon Music Unlimited. But then if I'd ask ""play <soundtrack> *from my library*"" it would sometimes work. Sometimes. The device itself went from being flat and relatively unobtrusive to a bowling ball.The last straw is this ""by the way..."" nonsense. It will frequently and unpredictably spam you with upsells and ""tips"" that you can't turn off. Yesterday I told it to play white noise as I was drifting to sleep, as I always do, and it shouted ""BY THE WAY, YOU CAN TURN ON A NIGHT LIGHT BY...""If it can't turn devices on and off, can't play music, and can't play white noise without waking me up, then my ~10 Alexa devices are USELESS. Thanks for ruining a great concept, Amazon.Update: Well, we're a couple of months later, and the thing has finally gotten so stupid and tried to upsell me so much that I've started ripping them out. I wrote a skill to connect it to the baby tracker app. The skill worked perfectly, but the thing didn't hear me properly 90% of the time. Then it unpredictably replaced my development skill with a published one, which it keeps telling me is already disabled even though it's interacting with me, and it hasn't worked since. The last straw was ""playing specific songs is only available on Amazon Music Unlimited"", a new message I get every time I try to play anything, whether or not I've purchased it.Amazon talks a lot about building ""flywheels"" that draw you into its ecosystem. But these work both ways - so now that I'm moving to Google's ecosystem instead, that also means I need to stop using Amazon Music going forward and purchase my songs elsewhere. Preferably from a company that doesn't make a smart speaker themselves so we never end up with this lock in again. And that in turn diminishes the value of my Prime membership, which means shopping on Amazon is less enticing, which means...","By the way, this thing is getting really bad",,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Michael B,Verified Purchase
10 people found this helpful,"Reviewed in the United States on May 23, 2021"," Let me start by saying this is my fifth echo Dot device. I’ve had sufficient success with previous generations and thought the latest would be even better. This being the fourth generation and most current, I expected it to be the best. And when I first used it, it performed in very similar fashion but with notably better sound quality. But after a few months I started to experience intermittent connectivity problems. These problems became more frequent and I attempted to seek a replacement from Amazon. However Amazon informed me that the warranty expired after 90 days. In this day and age, a 90 day warranty for an electronic device is unusually short. This will discourage me from making further Amazon echo purchases. My advice for others is to check the warranty so you have a clear understanding of what Amazon will or will not allow as far as seeking replacements for defective items.","Worked at first, but now just a paperweight.",,2.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Tony,Verified Purchase
10 people found this helpful,"Reviewed in the United States on June 25, 2021","I loved it at first, but after 4 months the device would randomly stop working. It would just stop in the middle of playing music, wouldn't respond to voice commands. I would have to unplug and replug it back in to get it working again. When in ""do not listen"" mode, it will randomly stop and when buttons are pressed, nothing will happen. Again, it has to be unplugged and plugged back in to get it working again. Also, when in ""do not listen"" mode, it will show red, but then have the random blue swirling on the bottom. It won't respond to commands - have to unplug and replug back in for it to work. This is obviously a defective unit. I contacted Amazon and they said my only option was to buy a new one. They would give me 15% off. They would not replace this defective one that was less than a year old. I offered to return it, but was told that I would still have to purchase a new one. Very sad that Amazon will not replace a defective product of theirs that is less than a year old - actually only 6 months old and the problems started after 4 months. I will be very hesitant to purchase another Amazon device if this is how they stand behind their products.",Amazon won't stand behind this when it stops working after 6 months,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Ruth,Verified Purchase
26 people found this helpful,"Reviewed in the United States on November 27, 2020","I have 2 other echo dots that are 3rd gen and I was really excited for this one because the shape is more aesthetically pleasing. However, and I don't know if it's specifically my device or if they're all like this now, the sound quality when playing music is much, much worse. A disappointment because I got it for someone in my home who primarily uses it for music.",Sound quality not as good as previous generation,,2.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Lepidottero,Verified Purchase
15 people found this helpful,"Reviewed in the United States on March 31, 2021","This particular Echo Dot stopped working 3 months after I bought it. It kept going ""Offline"" and I kept having to reset it. Then I got a solid red ring. Bottom line, after resetting it, it would work for anywhere from one to eight hours, then go back to being unresponsive again. Troubleshooting was useless, as Amazon seems to think that the ONLY problem an Echo Dot can possibly have is a weak wifi signal. Since this particular Echo Dot is in the same room as the wifi router, I'm fairly certain I can rule that out as the cause.For the record, I have three other Echo Dots in my home (one from each of the previous three generations) and they are all still working perfectly. It's only this new 4th generation model that's not working properly.",Stopped working,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Scott,Verified Purchase
